word_esp,word_rus,other_rus,category,level
árbol,дерево,"куст,цветок,трава",Транспорт,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Овощи и фрукты,продвинутый
montaña,гора,"река,озеро,лес",Одежда,средний
silla,стул,"диван,табурет,шкаф",Транспорт,продвинутый
alegría,радость,"печаль,злость,спокойствие",Одежда,начальный
doctor,врач,"учитель,пекарь,инженер",Дом и быт,средний
mesa,стол,"стул,шкаф,диван",Одежда,продвинутый
pan,хлеб,"масло,сыр,булка",Части тела,продвинутый
mesa,стол,"стул,шкаф,диван",Транспорт,продвинутый
correr,бежать,"прыгать,идти,ползти",Профессии,продвинутый
perro,собака,"кошка,мышь,тигр",Глаголы действия,средний
caminar,идти,"стоять,бежать,сидеть",Транспорт,средний
coche,машина,"велосипед,мотоцикл,поезд",Глаголы действия,начальный
perro,собака,"кошка,мышь,тигр",Профессии,продвинутый
nadar,плавать,"нырять,летать,ползти",Животные,начальный
hierba,трава,"листва,цветок,дерево",Природа,продвинутый
mesa,стол,"стул,шкаф,диван",Дом и быт,начальный
ingeniero,инженер,"врач,учитель,строитель",Части тела,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Глаголы действия,средний
tren,поезд,"машина,автобус,метро",Глаголы действия,продвинутый
vestido,платье,"юбка,блузка,рубашка",Глаголы действия,продвинутый
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
leche,молоко,"вода,сок,чай",Овощи и фрукты,начальный
pantalón,брюки,"шорты,юбка,джинсы",Глаголы действия,начальный
mar,море,"океан,озеро,река",Глаголы действия,средний
sol,солнце,"луна,звезда,облако",Дом и быт,продвинутый
silla,стул,"диван,табурет,шкаф",Эмоции,продвинутый
gato,кошка,"собака,птица,лошадь",Одежда,начальный
montaña,гора,"река,озеро,лес",Транспорт,начальный
leche,молоко,"вода,сок,чай",Одежда,продвинутый
tren,поезд,"машина,автобус,метро",Профессии,средний
pantalón,брюки,"шорты,юбка,джинсы",Профессии,начальный
hierba,трава,"листва,цветок,дерево",Транспорт,средний
doctor,врач,"учитель,пекарь,инженер",Овощи и фрукты,продвинутый
volar,летать,"ходить,прыгать,катиться",Транспорт,начальный
árbol,дерево,"куст,цветок,трава",Эмоции,продвинутый
caballo,лошадь,"осёл,верблюд,корова",Животные,начальный
pan,хлеб,"масло,сыр,булка",Транспорт,продвинутый
leche,молоко,"вода,сок,чай",Профессии,начальный
sol,солнце,"луна,звезда,облако",Одежда,начальный
playa,пляж,"берег,галька,песок",Глаголы действия,продвинутый
nadar,плавать,"нырять,летать,ползти",Глаголы действия,начальный
agua,вода,"молоко,пиво,сок",Одежда,средний
flor,цветок,"листва,куст,дерево",Дом и быт,начальный
tristeza,грусть,"радость,злость,удивление",Эмоции,начальный
mesa,стол,"стул,шкаф,диван",Природа,продвинутый
volar,летать,"ходить,прыгать,катиться",Природа,средний
perro,собака,"кошка,мышь,тигр",Одежда,продвинутый
profesor,учитель,"врач,инженер,продавец",Эмоции,средний
tristeza,грусть,"радость,злость,удивление",Транспорт,начальный
flor,цветок,"листва,куст,дерево",Одежда,начальный
playa,пляж,"берег,галька,песок",Профессии,начальный
coche,машина,"велосипед,мотоцикл,поезд",Эмоции,продвинутый
playa,пляж,"берег,галька,песок",Глаголы действия,начальный
leche,молоко,"вода,сок,чай",Овощи и фрукты,средний
volar,летать,"ходить,прыгать,катиться",Животные,средний
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,средний
volar,летать,"ходить,прыгать,катиться",Транспорт,средний
volar,летать,"ходить,прыгать,катиться",Глаголы действия,продвинутый
gato,кошка,"собака,птица,лошадь",Профессии,продвинутый
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,продвинутый
perro,собака,"кошка,мышь,тигр",Эмоции,средний
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,средний
profesor,учитель,"врач,инженер,продавец",Транспорт,средний
montaña,гора,"река,озеро,лес",Одежда,продвинутый
mesa,стол,"стул,шкаф,диван",Животные,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Дом и быт,средний
flor,цветок,"листва,куст,дерево",Транспорт,продвинутый
queso,сыр,"молоко,хлеб,творог",Профессии,средний
mar,море,"океан,озеро,река",Части тела,продвинутый
mesa,стол,"стул,шкаф,диван",Транспорт,продвинутый
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
gato,кошка,"собака,птица,лошадь",Дом и быт,средний
correr,бежать,"прыгать,идти,ползти",Одежда,начальный
perro,собака,"кошка,мышь,тигр",Эмоции,средний
caminar,идти,"стоять,бежать,сидеть",Части тела,продвинутый
alegría,радость,"печаль,злость,спокойствие",Дом и быт,начальный
mesa,стол,"стул,шкаф,диван",Природа,начальный
gato,кошка,"собака,птица,лошадь",Природа,начальный
pantalón,брюки,"шорты,юбка,джинсы",Животные,средний
tristeza,грусть,"радость,злость,удивление",Эмоции,начальный
alegría,радость,"печаль,злость,спокойствие",Профессии,начальный
pan,хлеб,"масло,сыр,булка",Одежда,продвинутый
volar,летать,"ходить,прыгать,катиться",Части тела,средний
agua,вода,"молоко,пиво,сок",Природа,продвинутый
nadar,плавать,"нырять,летать,ползти",Эмоции,средний
camisa,рубашка,"пиджак,футболка,пальто",Эмоции,продвинутый
falda,юбка,"брюки,платье,шорты",Части тела,начальный
doctor,врач,"учитель,пекарь,инженер",Овощи и фрукты,продвинутый
nadar,плавать,"нырять,летать,ползти",Профессии,средний
falda,юбка,"брюки,платье,шорты",Дом и быт,средний
pantalón,брюки,"шорты,юбка,джинсы",Части тела,продвинутый
doctor,врач,"учитель,пекарь,инженер",Профессии,начальный
emoción,эмоция,"чувство,ощущение,переживание",Транспорт,средний
alegría,радость,"печаль,злость,спокойствие",Глаголы действия,начальный
avión,самолёт,"поезд,машина,метро",Животные,средний
luna,луна,"планета,солнце,комета",Части тела,средний
leche,молоко,"вода,сок,чай",Природа,средний
agua,вода,"молоко,пиво,сок",Одежда,средний
alegría,радость,"печаль,злость,спокойствие",Дом и быт,продвинутый
vestido,платье,"юбка,блузка,рубашка",Одежда,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Животные,начальный
avión,самолёт,"поезд,машина,метро",Транспорт,продвинутый
tristeza,грусть,"радость,злость,удивление",Глаголы действия,средний
alegría,радость,"печаль,злость,спокойствие",Овощи и фрукты,средний
camisa,рубашка,"пиджак,футболка,пальто",Профессии,продвинутый
leche,молоко,"вода,сок,чай",Природа,продвинутый
luna,луна,"планета,солнце,комета",Глаголы действия,продвинутый
correr,бежать,"прыгать,идти,ползти",Одежда,продвинутый
vestido,платье,"юбка,блузка,рубашка",Транспорт,продвинутый
sol,солнце,"луна,звезда,облако",Глаголы действия,начальный
doctor,врач,"учитель,пекарь,инженер",Животные,начальный
leche,молоко,"вода,сок,чай",Транспорт,продвинутый
agua,вода,"молоко,пиво,сок",Части тела,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Природа,продвинутый
luna,луна,"планета,солнце,комета",Профессии,средний
hierba,трава,"листва,цветок,дерево",Глаголы действия,продвинутый
nadar,плавать,"нырять,летать,ползти",Части тела,продвинутый
mar,море,"океан,озеро,река",Транспорт,начальный
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,начальный
ingeniero,инженер,"врач,учитель,строитель",Одежда,средний
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Эмоции,средний
caminar,идти,"стоять,бежать,сидеть",Эмоции,начальный
montaña,гора,"река,озеро,лес",Животные,средний
leche,молоко,"вода,сок,чай",Профессии,продвинутый
playa,пляж,"берег,галька,песок",Эмоции,средний
pan,хлеб,"масло,сыр,булка",Глаголы действия,продвинутый
vestido,платье,"юбка,блузка,рубашка",Части тела,средний
caballo,лошадь,"осёл,верблюд,корова",Животные,средний
zapato,туфля,"ботинок,кроссовок,сандалия",Эмоции,начальный
camisa,рубашка,"пиджак,футболка,пальто",Глаголы действия,продвинутый
playa,пляж,"берег,галька,песок",Эмоции,продвинутый
hierba,трава,"листва,цветок,дерево",Одежда,начальный
caminar,идти,"стоять,бежать,сидеть",Дом и быт,начальный
queso,сыр,"молоко,хлеб,творог",Части тела,продвинутый
vestido,платье,"юбка,блузка,рубашка",Животные,начальный
sol,солнце,"луна,звезда,облако",Природа,средний
caminar,идти,"стоять,бежать,сидеть",Одежда,продвинутый
agua,вода,"молоко,пиво,сок",Глаголы действия,продвинутый
mesa,стол,"стул,шкаф,диван",Овощи и фрукты,начальный
flor,цветок,"листва,куст,дерево",Части тела,продвинутый
falda,юбка,"брюки,платье,шорты",Одежда,средний
sol,солнце,"луна,звезда,облако",Природа,начальный
profesor,учитель,"врач,инженер,продавец",Части тела,продвинутый
profesor,учитель,"врач,инженер,продавец",Транспорт,средний
coche,машина,"велосипед,мотоцикл,поезд",Транспорт,средний
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,начальный
leche,молоко,"вода,сок,чай",Дом и быт,начальный
sol,солнце,"луна,звезда,облако",Дом и быт,продвинутый
ingeniero,инженер,"врач,учитель,строитель",Животные,начальный
luna,луна,"планета,солнце,комета",Эмоции,средний
luna,луна,"планета,солнце,комета",Дом и быт,начальный
luna,луна,"планета,солнце,комета",Глаголы действия,начальный
vestido,платье,"юбка,блузка,рубашка",Животные,средний
nadar,плавать,"нырять,летать,ползти",Овощи и фрукты,начальный
leche,молоко,"вода,сок,чай",Транспорт,начальный
mesa,стол,"стул,шкаф,диван",Профессии,средний
camisa,рубашка,"пиджак,футболка,пальто",Части тела,продвинутый
doctor,врач,"учитель,пекарь,инженер",Эмоции,продвинутый
gato,кошка,"собака,птица,лошадь",Дом и быт,продвинутый
sol,солнце,"луна,звезда,облако",Части тела,начальный
sol,солнце,"луна,звезда,облако",Животные,продвинутый
tristeza,грусть,"радость,злость,удивление",Дом и быт,начальный
doctor,врач,"учитель,пекарь,инженер",Части тела,начальный
leche,молоко,"вода,сок,чай",Профессии,начальный
silla,стул,"диван,табурет,шкаф",Транспорт,средний
gato,кошка,"собака,птица,лошадь",Части тела,продвинутый
silla,стул,"диван,табурет,шкаф",Глаголы действия,начальный
perro,собака,"кошка,мышь,тигр",Животные,продвинутый
playa,пляж,"берег,галька,песок",Эмоции,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Дом и быт,средний
alegría,радость,"печаль,злость,спокойствие",Глаголы действия,продвинутый
alegría,радость,"печаль,злость,спокойствие",Природа,начальный
alegría,радость,"печаль,злость,спокойствие",Профессии,средний
luna,луна,"планета,солнце,комета",Природа,средний
luna,луна,"планета,солнце,комета",Природа,начальный
árbol,дерево,"куст,цветок,трава",Глаголы действия,начальный
emoción,эмоция,"чувство,ощущение,переживание",Части тела,начальный
profesor,учитель,"врач,инженер,продавец",Транспорт,начальный
pantalón,брюки,"шорты,юбка,джинсы",Одежда,продвинутый
avión,самолёт,"поезд,машина,метро",Одежда,начальный
avión,самолёт,"поезд,машина,метро",Глаголы действия,средний
tren,поезд,"машина,автобус,метро",Животные,продвинутый
correr,бежать,"прыгать,идти,ползти",Животные,средний
gato,кошка,"собака,птица,лошадь",Природа,средний
silla,стул,"диван,табурет,шкаф",Профессии,начальный
perro,собака,"кошка,мышь,тигр",Одежда,продвинутый
montaña,гора,"река,озеро,лес",Транспорт,средний
luna,луна,"планета,солнце,комета",Части тела,начальный
queso,сыр,"молоко,хлеб,творог",Транспорт,продвинутый
profesor,учитель,"врач,инженер,продавец",Дом и быт,продвинутый
mar,море,"океан,озеро,река",Глаголы действия,продвинутый
perro,собака,"кошка,мышь,тигр",Овощи и фрукты,начальный
caballo,лошадь,"осёл,верблюд,корова",Животные,средний
falda,юбка,"брюки,платье,шорты",Овощи и фрукты,средний
montaña,гора,"река,озеро,лес",Транспорт,продвинутый
flor,цветок,"листва,куст,дерево",Овощи и фрукты,продвинутый
volar,летать,"ходить,прыгать,катиться",Части тела,средний
correr,бежать,"прыгать,идти,ползти",Дом и быт,начальный
mar,море,"океан,озеро,река",Природа,продвинутый
árbol,дерево,"куст,цветок,трава",Эмоции,средний
correr,бежать,"прыгать,идти,ползти",Животные,продвинутый
vestido,платье,"юбка,блузка,рубашка",Животные,продвинутый
pan,хлеб,"масло,сыр,булка",Транспорт,продвинутый
caballo,лошадь,"осёл,верблюд,корова",Профессии,начальный
tren,поезд,"машина,автобус,метро",Глаголы действия,средний
falda,юбка,"брюки,платье,шорты",Глаголы действия,продвинутый
agua,вода,"молоко,пиво,сок",Профессии,средний
caminar,идти,"стоять,бежать,сидеть",Одежда,начальный
coche,машина,"велосипед,мотоцикл,поезд",Одежда,продвинутый
perro,собака,"кошка,мышь,тигр",Овощи и фрукты,начальный
agua,вода,"молоко,пиво,сок",Глаголы действия,начальный
falda,юбка,"брюки,платье,шорты",Эмоции,средний
mar,море,"океан,озеро,река",Глаголы действия,начальный
coche,машина,"велосипед,мотоцикл,поезд",Природа,средний
mesa,стол,"стул,шкаф,диван",Животные,начальный
pantalón,брюки,"шорты,юбка,джинсы",Глаголы действия,средний
perro,собака,"кошка,мышь,тигр",Овощи и фрукты,средний
playa,пляж,"берег,галька,песок",Животные,средний
volar,летать,"ходить,прыгать,катиться",Дом и быт,продвинутый
pan,хлеб,"масло,сыр,булка",Овощи и фрукты,продвинутый
avión,самолёт,"поезд,машина,метро",Профессии,средний
nadar,плавать,"нырять,летать,ползти",Одежда,средний
volar,летать,"ходить,прыгать,катиться",Профессии,средний
hierba,трава,"листва,цветок,дерево",Дом и быт,продвинутый
tren,поезд,"машина,автобус,метро",Глаголы действия,продвинутый
flor,цветок,"листва,куст,дерево",Природа,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Эмоции,продвинутый
gato,кошка,"собака,птица,лошадь",Природа,средний
sol,солнце,"луна,звезда,облако",Животные,средний
vestido,платье,"юбка,блузка,рубашка",Овощи и фрукты,средний
vestido,платье,"юбка,блузка,рубашка",Природа,средний
perro,собака,"кошка,мышь,тигр",Животные,средний
caminar,идти,"стоять,бежать,сидеть",Одежда,начальный
montaña,гора,"река,озеро,лес",Дом и быт,начальный
sol,солнце,"луна,звезда,облако",Овощи и фрукты,начальный
volar,летать,"ходить,прыгать,катиться",Эмоции,начальный
coche,машина,"велосипед,мотоцикл,поезд",Одежда,средний
agua,вода,"молоко,пиво,сок",Животные,начальный
perro,собака,"кошка,мышь,тигр",Профессии,средний
sol,солнце,"луна,звезда,облако",Части тела,продвинутый
perro,собака,"кошка,мышь,тигр",Овощи и фрукты,продвинутый
silla,стул,"диван,табурет,шкаф",Дом и быт,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Дом и быт,продвинутый
mar,море,"океан,озеро,река",Эмоции,начальный
caminar,идти,"стоять,бежать,сидеть",Части тела,продвинутый
montaña,гора,"река,озеро,лес",Животные,начальный
pan,хлеб,"масло,сыр,булка",Части тела,продвинутый
luna,луна,"планета,солнце,комета",Глаголы действия,средний
nadar,плавать,"нырять,летать,ползти",Глаголы действия,начальный
nadar,плавать,"нырять,летать,ползти",Овощи и фрукты,начальный
playa,пляж,"берег,галька,песок",Дом и быт,средний
ingeniero,инженер,"врач,учитель,строитель",Животные,продвинутый
ingeniero,инженер,"врач,учитель,строитель",Природа,продвинутый
flor,цветок,"листва,куст,дерево",Овощи и фрукты,средний
queso,сыр,"молоко,хлеб,творог",Дом и быт,начальный
tren,поезд,"машина,автобус,метро",Дом и быт,средний
avión,самолёт,"поезд,машина,метро",Одежда,средний
emoción,эмоция,"чувство,ощущение,переживание",Дом и быт,средний
mesa,стол,"стул,шкаф,диван",Транспорт,продвинутый
hierba,трава,"листва,цветок,дерево",Профессии,продвинутый
correr,бежать,"прыгать,идти,ползти",Эмоции,начальный
emoción,эмоция,"чувство,ощущение,переживание",Одежда,продвинутый
sol,солнце,"луна,звезда,облако",Транспорт,средний
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,начальный
sol,солнце,"луна,звезда,облако",Транспорт,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Части тела,продвинутый
agua,вода,"молоко,пиво,сок",Одежда,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Животные,средний
caballo,лошадь,"осёл,верблюд,корова",Эмоции,начальный
árbol,дерево,"куст,цветок,трава",Одежда,продвинутый
camisa,рубашка,"пиджак,футболка,пальто",Профессии,средний
playa,пляж,"берег,галька,песок",Транспорт,продвинутый
alegría,радость,"печаль,злость,спокойствие",Животные,средний
caminar,идти,"стоять,бежать,сидеть",Транспорт,начальный
leche,молоко,"вода,сок,чай",Профессии,средний
tristeza,грусть,"радость,злость,удивление",Профессии,начальный
alegría,радость,"печаль,злость,спокойствие",Природа,продвинутый
montaña,гора,"река,озеро,лес",Одежда,начальный
silla,стул,"диван,табурет,шкаф",Одежда,средний
playa,пляж,"берег,галька,песок",Части тела,продвинутый
emoción,эмоция,"чувство,ощущение,переживание",Природа,продвинутый
mesa,стол,"стул,шкаф,диван",Одежда,продвинутый
tristeza,грусть,"радость,злость,удивление",Эмоции,продвинутый
pan,хлеб,"масло,сыр,булка",Транспорт,продвинутый
sol,солнце,"луна,звезда,облако",Природа,начальный
agua,вода,"молоко,пиво,сок",Транспорт,продвинутый
flor,цветок,"листва,куст,дерево",Транспорт,начальный
agua,вода,"молоко,пиво,сок",Транспорт,средний
playa,пляж,"берег,галька,песок",Овощи и фрукты,начальный
coche,машина,"велосипед,мотоцикл,поезд",Части тела,начальный
nadar,плавать,"нырять,летать,ползти",Дом и быт,продвинутый
agua,вода,"молоко,пиво,сок",Дом и быт,продвинутый
nadar,плавать,"нырять,летать,ползти",Профессии,начальный
alegría,радость,"печаль,злость,спокойствие",Одежда,начальный
coche,машина,"велосипед,мотоцикл,поезд",Овощи и фрукты,продвинутый
pantalón,брюки,"шорты,юбка,джинсы",Профессии,начальный
agua,вода,"молоко,пиво,сок",Природа,продвинутый
ingeniero,инженер,"врач,учитель,строитель",Транспорт,продвинутый
nadar,плавать,"нырять,летать,ползти",Глаголы действия,начальный
hierba,трава,"листва,цветок,дерево",Животные,продвинутый
hierba,трава,"листва,цветок,дерево",Дом и быт,продвинутый
agua,вода,"молоко,пиво,сок",Дом и быт,продвинутый
falda,юбка,"брюки,платье,шорты",Эмоции,средний
playa,пляж,"берег,галька,песок",Природа,средний
emoción,эмоция,"чувство,ощущение,переживание",Глаголы действия,продвинутый
hierba,трава,"листва,цветок,дерево",Дом и быт,продвинутый
flor,цветок,"листва,куст,дерево",Части тела,начальный
silla,стул,"диван,табурет,шкаф",Транспорт,продвинутый
gato,кошка,"собака,птица,лошадь",Овощи и фрукты,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Профессии,продвинутый
caminar,идти,"стоять,бежать,сидеть",Глаголы действия,продвинутый
falda,юбка,"брюки,платье,шорты",Глаголы действия,начальный
tren,поезд,"машина,автобус,метро",Природа,средний
flor,цветок,"листва,куст,дерево",Эмоции,продвинутый
caminar,идти,"стоять,бежать,сидеть",Природа,продвинутый
vestido,платье,"юбка,блузка,рубашка",Эмоции,начальный
agua,вода,"молоко,пиво,сок",Овощи и фрукты,средний
queso,сыр,"молоко,хлеб,творог",Природа,средний
camisa,рубашка,"пиджак,футболка,пальто",Эмоции,средний
agua,вода,"молоко,пиво,сок",Одежда,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Части тела,начальный
playa,пляж,"берег,галька,песок",Овощи и фрукты,продвинутый
nadar,плавать,"нырять,летать,ползти",Транспорт,начальный
alegría,радость,"печаль,злость,спокойствие",Одежда,средний
ingeniero,инженер,"врач,учитель,строитель",Части тела,средний
flor,цветок,"листва,куст,дерево",Овощи и фрукты,средний
coche,машина,"велосипед,мотоцикл,поезд",Овощи и фрукты,начальный
silla,стул,"диван,табурет,шкаф",Транспорт,продвинутый
avión,самолёт,"поезд,машина,метро",Профессии,продвинутый
coche,машина,"велосипед,мотоцикл,поезд",Природа,начальный
caballo,лошадь,"осёл,верблюд,корова",Транспорт,начальный
zapato,туфля,"ботинок,кроссовок,сандалия",Части тела,средний
ingeniero,инженер,"врач,учитель,строитель",Профессии,начальный
agua,вода,"молоко,пиво,сок",Животные,продвинутый
flor,цветок,"листва,куст,дерево",Одежда,средний
camisa,рубашка,"пиджак,футболка,пальто",Эмоции,средний
leche,молоко,"вода,сок,чай",Транспорт,начальный
